type	latitude	longitude	altitude (ft)	eos	name
T	25.845658000	-80.180958000	1.0		
T	25.846636000	-80.149937000	0.3		
T	25.851001000	-80.175770000	1.8		
T	25.860185000	-80.176140000	8.0		
T	25.814542000	-80.223938000	11.1		
T	25.853875000	-80.137714000	0.5		
T	25.855428000	-80.188547000	8.2		
T	25.853660000	-80.175495000	2.5		
T	25.841902000	-80.186404000	8.3		
T	25.853866000	-80.192647000	3.3		
T	25.862198000	-80.182575000	8.9		
T	25.844593000	-80.183802000	5.3		
T	25.858072000	-80.192101000	4.6		
T	25.838675000	-80.187257000	8.5		
T	25.853731000	-80.137683000	0.7		
T	25.836719000	-80.186178000	8.2		
T	25.858256000	-80.192880000	5.3		
T	25.832855000	-80.120950000	4.2		
T	25.831556000	-80.183607000	9.2		
T	25.840186000	-80.180191000	3.7		
T	25.839506000	-80.181564000	4.3		
T	25.863152000	-80.192825000	7.1		
T	25.855374000	-80.193103000	5.0		
T	25.844009000	-80.189589000	7.9		
T	25.851084000	-80.139356000	2.4		
T	25.858371000	-80.193883000	7.7		
T	25.809633000	-80.191733000	14.2		
T	25.819777000	-80.190339000	11.9		
T	25.818131000	-80.190706000	11.5		
T	25.846153000	-80.149417000	0.3		
T	25.853957000	-80.135535000	1.3		
T	25.843995000	-80.179422000	4.0		
T	25.846386000	-80.152855000	0.3		
T	25.815782000	-80.193981000	13.4		
T	25.856508000	-80.193840000	6.6		
T	25.853811000	-80.191610000	3.3		
T	25.858233000	-80.127939000	0.3		
T	25.840204000	-80.179579000	2.9		
T	25.855343000	-80.188778000	8.2		
T	25.863152000	-80.192825000	7.1		
T	25.850895000	-80.179391000	3.6		
T	25.855720000	-80.190579000	8.1		
T	25.850137000	-80.177185000	3.4		
T	25.820228000	-80.189208000	10.8		
T	25.850766000	-80.180847000	3.9		
T	25.844303000	-80.186955000	7.5		
T	25.858311000	-80.128111000	0.2		
T	25.834713000	-80.186626000	9.2		
T	25.817715000	-80.190170000	10.5		
T	25.813153000	-80.191714000	13.9		
T	25.850466000	-80.181904000	8.4		
T	25.829821000	-80.121153000	3.8		
T	25.850096000	-80.178810000	6.7		
T	25.848638000	-80.177636000	3.3		
T	25.855157000	-80.176871000	7.8		
T	25.839178000	-80.121521000	1.8		
T	25.856693000	-80.182055000	7.1		
T	25.856972000	-80.181697000	7.3		
T	25.835555000	-80.120204000	3.3		
T	25.847611000	-80.172907000	5.7		
T	25.845155000	-80.146631000	0.3		
T	25.854109000	-80.126280000	0.3		
T	25.822421000	-80.126499000	3.6		
T	25.845235000	-80.119883000	3.4		
T	25.857138000	-80.188941000	7.5		
T	25.822632000	-80.126133000	3.6		
T	25.847591000	-80.151947000	0.3		
T	25.847933000	-80.120570000	3.8		
T	25.847923000	-80.121749000	0.9		
T	25.847923000	-80.121749000	0.9		
T	25.847923000	-80.121749000	0.9		
T	25.848098000	-80.120576000	3.8		
T	25.861147000	-80.121384000	5.0		
T	25.838374000	-80.132722000	0.3		
T	25.820515000	-80.124892000	3.0		
T	25.844328000	-80.128814000	0.3		
T	25.833889000	-80.130344000	0.3		
