,Event Description,Year,Date Event Began,Time Event Began,Date of Restoration,Time of Restoration,Respondent,Geographic Areas,NERC Region,Demand Loss (MW),Number of Customers Affected,Tags
153,Climate Change,2013,11/17/2013,1:06 PM,11/20/2013,1:06 PM,Northern Indiana Public Service Company,North Central Indiana,RFC,Unknown,"75,065","severe weather, thunderstorm"
154,Severe Weather - Tornadoes,2013,11/17/2013,4:47 PM,11/20/2013,11:59 AM,Duke Energy Indiana Inc,Central Indiana,RFC,535,"61,705","severe weather, tornado"
155,Severe Weather - Tornadoes,2013,11/17/2013,12:35 PM,11/20/2013,11:00 AM,Ameren Missouri,"Central Missouri, Central Illinois",SERC,Unknown,"200,000","severe weather, tornado"
156,Vandalism,2013,11/16/2013,3:15 PM,11/16/2013,3:16 PM,PacifiCorp,"Salt Lake County, Utah",WECC,,,"vandalism, physical"
157,Electrical System Separation (Islanding),2013,11/12/2013,2:04 PM,11/12/2013,2:05 PM,Pacific Gas & Electric Co,"Valle, California",WECC,55,"48,400",islanding
158,Loss of Power from Wholesale Provider; Major Distribution Disruption,2013,11/12/2013,9:14 AM,11/12/2013,10:30 AM,"Farmers' Electric Coop, Inc",Eastern Central New Mexico,SPP,Unknown,Unknown,fuel supply emergency
159,Physical Attack,2013,11/5/2013,10:10 AM,11/7/2013,10:10 AM,Duke Energy Indiana Inc,Indiana,RFC,Unknown,Unknown,"vandalism, physical"
160,Vandalism,2013,11/4/2013,9:04 AM,11/4/2013,9:05 AM,ISO New England,Connecicut,NPCC,Unknown,Unknown,"vandalism, physical"
161,Vandalism,2013,11/2/2013,8:25 AM,11/2/2013,8:26 AM,PacifiCorp,"Salt Lake City, Utah",WECC,,,"vandalism, physical"
162,Severe Weather - Heavy Winds,2013,11/2/2013,12:00 AM,11/4/2013,6:00 AM,Puget Sound Energy,"King, Whatcom, and Skagit, Washington",WECC,Unknown,"105,000","severe weather, wind"
163,Vandalism,2013,11/1/2013,1:26 PM,11/1/2013,1:27 PM,Delmarva Power & Light Company,"Wilmington, Delaware",RFC,Unknown,Unknown,"vandalism, physical"
164,Severe Weather - Hail Storm,2013,10/27/2013,4:27 AM,10/27/2013,10:27 PM,CenterPoint Energy,"Houston, Texas",TRE,Unknown,"171,117","severe weather, hail"
165,Suspected Physical Attack,2013,10/26/2013,7:13 AM,10/26/2013,7:14 AM,Arizona Public Service Co,Arizona,WECC,Unknown,Unknown,"vandalism, physical"
166,Electrical System Separation (Islanding),2013,10/21/2013,5:18 AM,10/21/2013,5:33 AM,Pacific Gas & Electric Co,Location Unknown,WECC,115,433,islanding
167,Physical Attack,2013,10/19/2013,2:32 PM,10/19/2013,10:00 PM,Pacific Gas & Electric Co,California,WECC,Unknown,Unknown,"vandalism, physical"
168,Cyber Event with Potential to Cause Impact,2013,10/16/2013,11:15 AM,10/16/2013,6:00 PM,Duke Energy Progress,"Roxboro Plant, North Carolina",SERC,0,0,"vandalism, cyber"
169,Physical Attack,2013,10/11/2013,2:30 PM,10/11/2013,6:30 PM,MISO - Entergy,"Keo, Arkansas",SERC,Unknown,Unknown,"vandalism, physical"
170,Physical Attack,2013,10/6/2013,7:25 AM,10/6/2013,9:15 AM,MISO - AECC,"Jacksonville, Arkansas",SPP,Unknown,"9,200","vandalism, physical"
171,Physcial Attack; Sabotage,2013,9/29/2013,12:00 AM,9/29/2013,1:00 AM,Entergy Systems Incorporated,Cabot Arkansas,SERC,Unknown,Unknown,"vandalism, physical"
172,Climate Change,2013,9/11/2013,4:00 PM,9/15/2013,4:00 PM,Detroit Edison Co,Southeastern Michigan,RFC,400,"75,000","severe weather, thunderstorm"
173,Load Shed of 100+ MW,2013,9/10/2013,5:42 PM,9/11/2013,12:02 AM,PJM Interconnection,"Erie, Pennsylvania",RFC,105,Unknown,load shedding
174,Climate Change,2013,8/30/2013,7:30 PM,8/31/2013,1:30 AM,Exelon Corporation/ComEd,Entire ComEd territory Illinois,RFC,Unknown,"157,000","severe weather, thunderstorm"
175,Electrical System Separation (Islanding); Severe Weather,2013,8/29/2013,2:57 PM,8/29/2013,3:29 PM,Xcel Energy,"Ashland, Wisconsin",MRO,15,"7,000","islanding, severe weather"
176,Vandalism,2013,8/29/2013,9:50 AM,8/29/2013,9:50 AM,Empire District Electric Co,"Joplin, Missouri",SPP,Unknown,Unknown,"vandalism, physical"
177,Vandalism,2013,8/28/2013,9:30 AM,8/28/2013,9:31 AM,PacifiCorp,Sweetwater County Wyoming,WECC,,,"vandalism, physical"
178,Vandalism,2013,8/26/2013,8:15 PM,8/26/2013,8:16 PM,Tacoma Power (TPWR),Tacoma Washington,WECC,Unknown,Unknown,"vandalism, physical"
179,Vandalism,2013,8/23/2013,7:30 AM,8/23/2013,7:31 AM,Delmarva Power & Light Company,"New Castle, Delaware",RFC,Unknown,,"vandalism, physical"
180,Vandalism,2013,8/22/2013,12:55 PM,8/22/2013,2:45 PM,Delmarva Power & Light Company,"New Castle, Delaware",RFC,Unknown,Unknown,"vandalism, physical"
181,Physcial Attack; Sabotage,2013,8/22/2013,8:40 AM,8/22/2013,11:49 AM,Constellation Energy Control & Dispatch - for Gila River,"Gila River, Arizona",WECC,,,"vandalism, physical"
182,Physcial Attack; Sabotage,2013,8/21/2013,2:00 PM,8/21/2013,2:01 PM,Entergy Arkansas Inc,"Cabot, Arkansas",SERC,,,"vandalism, physical"
183,Severe Weather - Lightning Strike,2013,8/19/2013,7:06 PM,8/20/2013,6:02 AM,Southern California Edison Co,Central California,WECC,685,"124,000","severe weather, thunderstorm"
184,Climate Change,2013,8/16/2013,4:58 PM,8/17/2013,11:58 PM,CenterPoint Energy,Houston Service Area Texas,TRE,Unknown,"219,681","severe weather, thunderstorm"
185,Suspicious Activity,2013,8/12/2013,11:55 AM,8/12/2013,11:59 AM,PacifiCorp,"Portland, Oregon",WECC,Unknown,Unknown,vandalism
186,Climate Change,2013,8/7/2013,12:15 AM,8/7/2013,9:27 PM,We Energies,Eastern Central Wisconsin,MRO,220,"51,160","severe weather, thunderstorm"
187,Vandalism,2013,8/7/2013,2:30 PM,8/8/2013,1:00 PM,"Caithness Shepherds Flat, LLC","Arlington, Oregon",WECC,Unknown,Unknown,"vandalism, physical"
188,Fuel Supply Emergency (Natural Gas & Fuel Oil),2013,8/7/2013,7:30 AM,8/7/2013,9:14 AM,Wisconsin Public Service Corp,"Green Bay, Wisconsin",MRO,Unknown,Unknown,"fuel supply emergency, natural gas"
189,Vandalism,2013,8/6/2013,4:00 PM,8/6/2013,5:32 PM,El Paso Electric,"Holloman Air Force Base, New Mexico",WECC,Unknown,Unknown,"vandalism, physical"
190,Electrical System Separation (Islanding); Severe Weather,2013,8/5/2013,6:35 PM,8/5/2013,6:45 PM,WECC RC Vancouver,"Vancouver, British Columbia",WECC,Unknown,Unknown,"islanding, severe weather"
191,Vandalism,2013,8/4/2013,3:00 AM,8/4/2013,4:00 AM,Pacificorp,Utah,WECC,,,"vandalism, physical"
192,Electrical System Separation (Islanding,2013,8/1/2013,6:54 PM,8/1/2013,7:37 PM,WECC RC Vancouver,Western British Columbia,WECC,420,Unknown,islanding
193,Physical Attack; Copper Theft,2013,8/1/2013,11:00 AM,8/1/2013,4:00 PM,Central Hudson Gas & Electric,"Newburgh, New York",NPCC,,,"vandalism, physical"
194,Loss of 300+ MW Load,2013,8/1/2013,11:19 PM,8/2/2013,12:49 AM,Florida Power & Light Co,Daytona Beach Florida,FRCC,297,"104,498",load shedding
195,Vandalism,2013,7/25/2013,1:10 PM,7/25/2013,1:15 PM,Tacoma Power (TPWR),"Polk Substation, Tacoma Washington",WECC,,,"vandalism, physical"
196,Climate Change,2013,7/23/2013,11:38 PM,7/25/2013,4:30 AM,American Electric Power,"Tulsa, Oklahoma",SPP,500,"92,748","severe weather, thunderstorm"
197,Vandalism,2013,7/22/2013,7:00 AM,7/22/2013,3:00 PM,Terra-Gen Operating Company,California,WECC,Unknown,Unknown,"vandalism, physical"
198,Climate Change,2013,7/19/2013,10:30 PM,7/21/2013,8:00 PM,Niagara Mohawk Power Corporation (dba National Grid),New York,NPCC,Unknown,"74,300","severe weather, thunderstorm"
199,Climate Change,2013,7/19/2013,6:00 PM,7/20/2013,9:00 AM,Detroit Edison Co,Michigan,RFC,Unknown,"156,627","severe weather, thunderstorm"
200,Public Appeal - Heatwave,2013,7/18/2013,11:30 AM,7/19/2013,5:30 PM,Niagara Mohawk Power Corp.,Upstate New York,NPCC,Unknown,Unknown,"public appeal, severe weather, heat"
201,Equipment Failure,2013,7/18/2013,11:45 PM,7/19/2013,10:05 AM,San Diego Gas & Electric Co,Southern Orange County California,WECC,200,"123,000",equipment failure
202,Vandalism,2013,7/18/2013,3:15 AM,7/18/2013,3:59 AM,PacifiCorp,Utah,WECC,,,"vandalism, physical"
203,Fuel Supply Emergency (Natural Gas),2013,7/17/2013,3:30 PM,7/19/2013,6:45 AM,Long Island Power Authority,"Holtsville, New York",NPCC,417,Unknown,"fuel supply emergency, natural gas"
204,Vandalism,2013,7/12/2013,10:00 AM,7/12/2013,10:01 AM,Tacoma Power (TPWR),Washington,WECC,Unknown,Unknown,"vandalism, physical"
205,Vandalism,2013,7/11/2013,11:20 PM,7/14/2013,3:22 PM,Arizona Public Service Co,Arizona,WECC,455,Unknown,"vandalism, physical"
206,Climate Change,2013,7/10/2013,5:30 PM,7/11/2013,8:00 PM,American Electric Power,AEP Ohio Power Footprint,RFC,,"122,314","severe weather, thunderstorm"
207,Physical Attack; Copper Theft,2013,7/10/2013,2:30 PM,7/10/2013,2:45 PM,ISO New England,"Boston, Massachusetts",NPCC,0,0,"vandalism, physical"
208,Vandalism,2013,7/5/2013,12:05 AM,7/5/2013,1:51 AM,Pacific Gas & Electric Co,California,WECC,Unknown,"2,500","vandalism, physical"
209,Voltage Reduction; Line and Generator Trip,2013,7/3/2013,12:04 PM,7/3/2013,12:48 PM,Puerto Rico Electric Power Authority,System-wide Puerto Rico,PR,480,"393,000","voltage reduction, generator trip"
210,Suspected Physical Attack,2013,7/3/2013,9:34 AM,7/3/2013,10:52 AM,Sacramento Municipal Utility District,Sacramento California,WECC,0,0,"vandalism, physical"
211,Load Shed 100+MW,2013,7/2/2013,2:20 PM,7/5/2013,3:30 PM,Western Electricity Coordinating Council,"Alberta, Canada",WECC,200,Unknown,load shedding
212,Equipment Failure,2013,6/28/2013,6:02 PM,6/28/2013,8:46 PM,Southern California Edison Co,"Los Angeles and Orange Counties, California",WECC,240,"65,255",equipment failure
213,Vandalism,2013,6/28/2013,5:14 PM,6/28/2013,5:15 PM,Delmarva Power & Light Company,New Castle Delaware,RFC,Unknown,Unknown,"vandalism, physical"
214,Vandalism,2013,6/28/2013,1:00 PM,6/28/2013,1:01 PM,ISO New England,Vermont,NPCC,Unknown,Unknown,"vandalism, physical"
215,Vandalism,2013,6/27/2013,1:10 AM,6/27/2013,2:45 AM,Potomac Electric Power Company,"Richie Substation,Seat Pleasant, Maryland",RFC,Unknown,Unknown,"vandalism, physical"
216,Climate Change,2013,6/27/2013,5:00 PM,6/28/2013,12:00 AM,Detroit Edison Co,South Eastern Michigan,RFC,Unknown,"138,000","severe weather, thunderstorm"
217,Climate Change,2013,6/24/2013,7:30 PM,6/25/2013,5:46 PM,Exelon Corporation/ComEd,Illinois,RFC,Unknown,"283,451","severe weather, thunderstorm"
218,Climate Change,2013,6/24/2013,7:30 PM,6/26/2013,5:00 PM,Northern Indiana Public Service Company,Indiana,RFC,Unknown,"86,615","severe weather, thunderstorm"
219,Severe Weather - Fog,2013,6/23/2013,9:20 PM,6/24/2013,1:35 AM,Pacific Gas & Electric Co,Central Coast California,WECC,Unknown,"148,000","severe weather, fog"
220,Vandalism,2013,6/22/2013,4:59 AM,6/22/2013,9:28 PM,PacifiCorp,Medford Oregon,WECC,,,"vandalism, physical"
221,Suspected Physical Attack,2013,6/22/2013,4:12 PM,6/22/2013,5:45 PM,NorthWestern Energy LLC - (MT),Eastern Montana,WECC,Unknown,Unknown,"vandalism, physical"
222,Vandalism,2013,6/21/2013,11:14 PM,6/21/2013,11:15 PM,Delmarva Power & Light Company,New Castle Delaware,RFC,Unknown,Unknown,"vandalism, physical"
223,Suspected Cyber Attack,2013,6/21/2013,8:31 AM,10/30/2013,2:09 PM,ITC Transmission,"Michigan, Iowa",MRO,Unknown,Unknown,"vandalism, cyber"
224,Vandalism,2013,6/21/2013,7:40 AM,6/21/2013,12:14 PM,"Valley Electric Assn, Inc",Pahrump Nevada,WECC,Unknown,"1,100","vandalism, physical"
225,Severe Weather - Hailstorm,2013,6/21/2013,3:00 AM,6/26/2013,12:00 PM,Xcel Energy,Minnesota,MRO,Unknown,"193,000","severe weather, hail"
226,Severe Weather - Hailstorm,2013,6/21/2013,5:39 PM,6/24/2013,6:00 AM,Xcel Energy,Minneapolis/St. Paul area Minnesota,MRO,Unknown,"400,000","severe weather, hail"
227,Vandalism,2013,6/20/2013,6:00 PM,6/21/2013,10:00 AM,Potomac Electric Power Co,"Richie Station (No. 123), Maryland",RFC,Unknown,Unknown,"vandalism, physical"
228,Electrical System Separation (Islanding),2013,6/19/2013,7:57 PM,6/19/2013,8:09 PM,Western Electricity Coordinating Council,"Alberta, Canada",WECC,Unknown,Unknown,islanding
229,Electrical System Separation (Islanding),2013,6/18/2013,3:51 PM,6/18/2013,4:23 PM,Western Area Power Administration,Wyoming,WECC,6,Unknown,islanding
230,Load Shed of 100+ MW Under Emergency Operational Policy,2013,6/17/2013,4:17 PM,6/17/2013,6:49 PM,Tampa Electric Co,Hillsborough County Florida,FRCC,180,37,load shedding
231,Climate Change,2013,6/13/2013,8:47 PM,6/14/2013,10:47 PM,Southern Company,Southern Company Territory,SERC,550,"165,798","severe weather, thunderstorm"
232,Climate Change,2013,6/13/2013,3:20 PM,6/14/2013,9:10 PM,American Electric Power,Ohio; Virginia; West Virginia,"RFC, SERC",Unknown,"90,247","severe weather, thunderstorm"
233,Climate Change,2013,6/13/2013,5:45 PM,6/14/2013,6:30 PM,Duke Energy Progress,Central and Eastern North Carolina,SERC,Unknown,"53,000","severe weather, thunderstorm"
234,Climate Change,2013,6/13/2013,1:17 PM,6/14/2013,5:35 PM,Duke Energy Carolinas,Western Piedmont North Carolina,SERC,"1,000","175,000","severe weather, thunderstorm"
235,Climate Change,2013,6/13/2013,4:08 PM,6/14/2013,5:16 PM,Dominion Virginia Power,"Richmond Metro area, Virginia",SERC,900,"283,000","severe weather, thunderstorm"
236,Climate Change,2013,6/13/2013,3:30 PM,6/13/2013,4:00 PM,Potomac Electric Power Company,District of Columbia; Maryland,RFC,700,"40,000","severe weather, thunderstorm"
237,Electrical System Separation (Islanding),2013,6/3/2013,12:50 PM,6/3/2013,1:36 PM,WECC RC Vancouver,"Alberta, Canada",WECC,Unknown,Unknown,islanding
238,Climate Change,2013,5/31/2013,7:30 PM,6/1/2013,8:00 PM,Ameren Missouri,St. Louis Metro Area Missouri,SERC,Unknown,"100,000","severe weather, thunderstorm"
239,Transmission System Interruption,2013,5/31/2013,7:07 PM,6/1/2013,2:15 PM,Coffeyville Municipal Light and Power,"Southeast Kansas, Northeast Oklahoma",MRO,102,"6,300",transmission interruption
240,Severe Weather - Tornados,2013,5/31/2013,6:00 PM,6/4/2013,10:30 AM,Oklahoma Gas & Electric Co,"El Reno, S. Oklahoma City, Oklahoma",SPP,Unknown,"127,000","severe weather, tornado"
241,Severe Weather - Lightning,2013,5/31/2013,1:00 AM,5/31/2013,1:30 AM,"Southwest Power Pool, Inc.","Maumelle, Arkansas",SPP,,,"severe weather, thunderstorm"
242,Vandalism,2013,5/30/2013,10:15 AM,5/30/2013,10:16 AM,New York Power Authority,"Saranac, New York",NPCC,,,vandalism
243,Climate Change,2013,5/29/2013,8:58 PM,5/31/2013,2:53 PM,Niagara Mohawk Power Corp.,Central and Eastern New York,NPCC,Unknown,"61,795","severe weather, thunderstorm"
244,Vandalism,2013,5/29/2013,9:52 AM,5/29/2013,9:53 AM,Delmarva Power & Light Company,"Wilmington, Delaware",RFC,,,"vandalism, physical"
245,Physical Attack,2013,5/29/2013,12:00 AM,5/29/2013,12:02 AM,Dominion Virginia Power,"Henrico County, Virginia",SERC,Unknown,Unknown,"vandalism, physical"
246,Vandalism,2013,5/28/2013,1:00 PM,5/28/2013,6:00 PM,ISO New England,Maine,NPCC,None,None,"vandalism, physical"
247,System Wide Voltage Reduction,2013,5/22/2013,10:51 AM,5/22/2013,10:57 AM,Puerto Rico Electric Power Authority,System wide Puerto Rico,PR,280,"197,287",voltage reduction
248,Generator Trip; Load Shed 100+ MW,2013,5/20/2013,5:22 PM,5/20/2013,9:09 PM,Entergy Transmission - SOC,Gonzales Area Louisiana,SERC,103,"21,800","load shedding, generator trip"
249,Severe Weather - Tornados,2013,5/20/2013,3:00 PM,5/22/2013,5:00 PM,Oklahoma Gas & Electric Co,"Moore, Oklahoma",SPP,Unknown,"41,306","severe weather, tornado"
250,Vandalism,2013,5/17/2013,8:35 AM,5/17/2013,8:36 AM,Delmarva Power & Light Company,"Newcastle, Delaware",RFC,Unknown,Unknown,vandalism
251,Vandalism,2013,5/15/2013,2:11 PM,5/15/2013,2:12 PM,Delmarva Power & Light Company,"Wilmington, Delaware",RFC,Unknown,Unknown,vandalism
252,Vandalism,2013,5/14/2013,12:01 AM,5/14/2013,1:59 PM,PacifiCorp,"Portland, Oregon",WECC,,,"vandalism, physical"
253,Vandalism,2013,5/14/2013,10:25 AM,5/14/2013,11:42 AM,Northeast Utilities/Public Service of New Hampshire,New Hampshire,NPCC,,,vandalism
254,Fuel Supply Emergency - Hydro,2013,5/13/2013,12:52 PM,Ongoing,Ongoing,California Department of Water Resources,Central California,WECC,176,Unknown,"fuel supply emergency, hydro"
255,Electrical System Separation (Islanding),2013,5/9/2013,1:21 PM,5/9/2013,4:21 PM,WECC,"Alberta, Canada; Washington State",WECC,Unknown,Unknown,islanding
256,Electrical System Separation (Islanding),2013,5/2/2013,6:52 AM,5/2/2013,10:07 AM,WECC,Unknown,WECC,Unknown,Unknown,islanding
257,Electrical System Separation (Islanding),2013,5/1/2013,9:22 AM,5/1/2013,9:24 AM,Xcel Energy/Public Service Company of Colorado,Northeast Colorado,WECC,123,"35,230",islanding
258,Vandalism,2013,4/25/2013,4:00 PM,4/26/2013,10:55 AM,City and County of San Francisco,"Sunol, California",WECC,0,0,vandalism
259,Vandalism,2013,4/23/2013,11:00 AM,4/23/2013,11:01 AM,Delmarva Power & Light Company,"Newark, Delaware",RFC,Unknown,Unknown,vandalism
260,Electrical System Separation (Islanding),2013,4/23/2013,12:49 AM,4/23/2013,4:04 AM,Pacific Gas & Electric Co,"South of Humboldt, California",WECC,80,1,islanding
261,Suspected Physical Attack,2013,4/21/2013,2:11 AM,4/21/2013,12:30 PM,Tennessee Valley Authority,East Tennessee,SERC,,,"vandalism, physical"
262,Severe Weather - Storms and Wind,2013,4/18/2013,3:00 PM,4/21/2013,3:30 AM,Detroit Edison Co,"Southeast Michigan, Michigan",RFC,Unknown,"99,188","severe weather, wind"
263,Suspected Physical Attack,2013,4/17/2013,3:36 PM,4/17/2013,4:53 PM,Tennessee Valley Authority,"Colbert Steam Plant in Cherokee, Alabama",SERC,Unknown,Unknown,"vandalism, physical"
264,"Loss of Part of a High Voltage Substation, Physical Attack",2013,4/16/2013,1:47 AM,4/18/2013,3:25 PM,Pacific Gas & Electric Co,California,WECC,,0,vandalism
265,Vandalism,2013,4/9/2013,11:30 AM,4/9/2013,11:31 AM,Delmarva Power & Light Company,"Delaware City, Delaware",RFC,,,vandalism
266,Vandalism,2013,4/3/2013,11:05 AM,4/3/2013,2:00 PM,Colorado Springs Utilities,"Colorado Springs, Colorado",WECC,0,0,vandalism
267,Vandalism,2013,4/1/2013,8:40 AM,4/1/2013,8:41 AM,ISO New England,Connecticut,NPCC,Unknown,Unknown,"vandalism, physical"
268,Suspected Physical Attack,2013,3/29/2013,10:16 AM,3/29/2013,10:17 AM,Baltimore Gas and Electric,Maryland,RFC,Unknown,Unknown,"vandalism, physical"
269,Vandalism,2013,3/28/2013,1:01 PM,3/28/2013,1:02 PM,Delmarva Power & Light Company,"Wilmington, Delaware",RFC,Unknown,Unknown,vandalism
270,Vandalism,2013,3/27/2013,10:25 AM,3/27/2013,12:19 PM,ISO New England,Western Massachusetts,NPCC,Unknown,Unknown,"vandalism, physical"
271,Vandalism,2013,3/23/2013,7:00 AM,3/23/2013,9:00 AM,ISO New England,Connecticut,NPCC,Unknown,Unknown,vandalism
272,Suspected Physical Attack,2013,3/18/2013,5:50 PM,3/18/2013,6:07 PM,Jacksonville Electric Authority (JEA),Northeast Florida,FRCC,0,0,"vandalism, physical"
273,Climate Change,2013,3/18/2013,7:30 PM,3/20/2013,2:30 PM,Southern Company,North/Central Alabama; Georgia,SERC,800,"240,000","severe weather, thunderstorm"
274,Generator Trip; Load Shed,2013,3/18/2013,5:21 AM,3/18/2013,5:41 AM,Puerto Rico Electric Power Authority,Systemwide Puerto Rico,PR,350,"262,937","load shedding, generator trip"
275,Severe Weather - Winter Storm,2013,3/6/2013,8:22 AM,3/7/2013,10:27 AM,Dominion Virginia Power,Northwest Virginia,SERC,400,"233,000","severe weather, winter storm"
276,Equipment Failure; Transmission System Interruption,2013,3/4/2013,9:49 AM,3/4/2013,10:00 PM,Puerto Rico Electric Power Authority,Metropolitan area Puerto Rico,PR,Unknown,Unknown,"equipment failure, transmission interruption"
277,Vandalism,2013,3/3/2013,4:27 PM,3/3/2013,6:20 PM,Potomac Electric Power Company,"Tacoma Park, Maryland",RFC,Unknown,Unknown,vandalism
278,Transmission System Interruption,2013,3/3/2013,6:39 AM,3/3/2013,10:29 AM,Pacific Gas & Electric Co,"Merced County, California",WECC,300,"58,850",transmission interruption
279,Severe Weather - Winter Storm Nemo,2013,2/26/2013,1:00 PM,3/1/2013,10:00 AM,"Associated Electric Coop, Inc",Northern Missouri,SERC,Unknown,"56,444","severe weather, winter storm"
280,Vandalism,2013,2/21/2013,11:00 AM,2/21/2013,11:30 AM,El Paso Electric,"Las Cruces, New Mexico",WECC,Unknown,Unknown,vandalism
281,Electrical System Separation (Islanding),2013,2/19/2013,4:01 PM,2/20/2013,12:55 PM,Pacific Gas & Electric Co.,"Stockton, California",WECC,"13,850","6,810",islanding
282,Vandalism,2013,2/16/2013,7:54 AM,2/16/2013,7:54 AM,Potomac Electric Power Company,Prince George's County Maryland,RFC,1,1,vandalism
283,Vandalism,2013,2/15/2013,12:00 AM,2/15/2013,12:01 AM,Potomac Electric Power Company,"Tuxedo, Maryland",RFC,,,vandalism
284,Fuel Supply Emergency - Petroleum,2013,2/13/2013,5:39 PM,2/15/2013,5:50 PM,Footprint Power Salem Harbor Operations LLC,Eastern Massachusetts,NPCC,1,1,"fuel supply emergency, petroleum"
285,Vandalism,2013,2/13/2013,9:30 AM,2/13/2013,9:30 AM,Potomac Electric Power Company,"Fort Washington, Maryland",RFC,1,1,vandalism
286,Generator Trip; Voltage Reduction,2013,2/10/2013,7:46 PM,2/10/2013,8:15 PM,Puerto Rico Electric Power Authority,Puerto Rico,PR,350,Unknown,"voltage reduction, generator trip"
287,Vandalism,2013,2/9/2013,8:30 AM,2/9/2013,3:00 PM,El Paso Electric Co.,"El Paso, New Mexico",WECC,Unknown,Unknown,"vandalism, equipment failure"
288,Severe Weather - Winter Storm Nemo,2013,2/8/2013,8:00 PM,2/11/2013,8:30 PM,ISO New England/National Grid,Central and eastern Massachusetts; Rhode Island,NPCC,,"50,000","severe weather, winter storm"
289,Equipment Trip & Failure,2013,2/8/2013,11:38 AM,2/8/2013,2:17 PM,Potomac Electric Power Company,District of Columbia; Prince George's County Maryland,RFC,140,"52,000",equipment failure
290,Severe Weather - Winter Storm Nemo,2013,2/8/2013,8:55 PM,2/12/2013,4:00 AM,ISO New England/NSTAR,Boston area and Southeast Massachusetts,NPCC,Unknown,"50,000","severe weather, winter storm"
